,BLDG/RM,COURSE,CREDIT,CRN,DAY/TIME,FROM / TO,INSTR.,SECT,STATUS,SUBJ
1411,1957 E 309,Discussion,0.00,21405,F08:00AM - 09:15AM,01/14/13 - 04/29/13,"Nau, H",32,OPEN,IAFF
1412,1776 G 101,Discussion,0.00,21672,F09:35AM - 10:50AM,01/14/13 - 04/29/13,"Nau, H",33,CLOSED,IAFF
1413,1776 G 107,Discussion,0.00,21673,F09:35AM - 10:50AM,01/14/13 - 04/29/13,"Nau, H",34,CLOSED,IAFF
1414,1776 G 102,Discussion,0.00,21991,F09:35AM - 10:50AM,01/14/13 - 04/29/13,"Nau, H",35,OPEN,IAFF
1415,1957 E 313,Discussion,0.00,22166,F09:35AM - 10:50AM,01/14/13 - 04/29/13,"Nau, H",36,CLOSED,IAFF
1416,1957 E 310,Discussion,0.00,22167,F09:35AM - 10:50AM,01/14/13 - 04/29/13,"Nau, H",37,OPEN,IAFF
1417,1957 E 309,Discussion,0.00,22774,F09:35AM - 10:50AM,01/14/13 - 04/29/13,"Nau, H",38,OPEN,IAFF
1418,1957 E 310,Discussion,0.00,27419,F12:45PM - 02:00PM,01/14/13 - 04/29/13,"Nau, H",39,CLOSED,IAFF
1419,1957 E 313,Discussion,0.00,27420,F12:45PM - 02:00PM,01/14/13 - 04/29/13,"Nau, H",40,CLOSED,IAFF
1420,ACAD 304,Discussion,0.00,21428,F02:30PM - 03:45PM,01/14/13 - 04/29/13,"Nau, H",M1,OPEN,IAFF
1421,ACAD 301,Discussion,0.00,21704,F02:30PM - 03:45PM,01/14/13 - 04/29/13,"Nau, H",M2,OPEN,IAFF
1422,ACAD 302,Discussion,0.00,21705,F02:30PM - 03:45PM,01/14/13 - 04/29/13,"Nau, H",M3,OPEN,IAFF
1423,MARC 526,Career Development&Intern; Prep,1.00,24643,M02:20PM - 03:35PM,01/14/13 - 04/29/13,"Scammon, A",10,OPEN,IAFF
1424,1957 E B17,MiddleEast:AnIntlAffairsSurvey,3.00,25225,MW12:45PM - 02:00PM,01/14/13 - 04/29/13,"Mecham, R",11,CLOSED,IAFF
1425,1957 E 213,GameTheory&StrategicThinking;,3.00,27634,W06:00PM - 07:15PM,01/14/13 - 04/29/13,"Basu, K; Foster, J",12,OPEN,IAFF
1426,1957 E 308,Discussion,0.00,27637,R12:45PM - 02:00PM,01/14/13 - 04/29/13,"Foster, J; Basu, K; Darst, R",30,OPEN,IAFF
1427,1957 E 314,Discussion,0.00,27638,F12:45PM - 02:00PM,01/14/13 - 04/29/13,"Basu, K; Dar, A; Foster, J",31,CLOSED,IAFF
1428,1957 E 314,Discussion,0.00,27639,F02:20PM - 03:35PM,01/14/13 - 04/29/13,"Dar, A; Basu, K; Foster, J",32,OPEN,IAFF
1429,1957 E 309,Discussion,0.00,27744,R12:45PM - 02:00PM,01/14/13 - 04/29/13,"Foster, J; Refayet, M; Basu, K",33,OPEN,IAFF
1430,1957 E 315,Discussion,0.00,27745,F12:45PM - 02:00PM,01/14/13 - 04/29/13,"Refayet, M; Basu, K; Foster, J",34,CLOSED,IAFF
